epoch,train_loss,train_accuracy,train_f1_weighted,validation_loss,validation_accuracy,validation_f1_weighted,learning_rate
1,1.0445,0.6417,0.6412,0.8302,0.7176,0.7166,0.00098296
2,0.7583,0.7442,0.7436,0.7049,0.7616,0.7604,0.00093301
3,0.6503,0.7781,0.7777,0.6475,0.772,0.7713,0.00085355
4,0.5844,0.8013,0.8011,0.6494,0.7812,0.7784,0.00075
5,0.5251,0.8206,0.8203,0.505,0.8194,0.8182,0.00062941
6,0.4659,0.8401,0.8399,0.4975,0.828,0.8292,0.0005
7,0.4259,0.8551,0.855,0.4669,0.8428,0.8427,0.00037059
8,0.3783,0.8691,0.8691,0.4345,0.848,0.8482,0.00025
9,0.3437,0.8826,0.8825,0.4231,0.851,0.8515,0.00014645
10,0.304,0.8937,0.8936,0.4079,0.864,0.8641,6.699e-05
11,0.2755,0.9042,0.9041,0.398,0.8654,0.8654,1.704e-05
12,0.26,0.9091,0.909,0.3988,0.868,0.8678,0.0
